Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits
irfanme,https://github.com/irfanme,3794583,2013-03,2,2
iamsalmanafzal,https://github.com/iamsalmanafzal,3998015,2013-03,5,32
TheArchitect-94,https://github.com/TheArchitect-94,3755993,2013-03,27,87
khalidmajidali,https://github.com/khalidmajidali,3983703,2013-03,4,19
brainexception,https://github.com/brainexception,3921743,2013-03,13,29
Farru,https://github.com/Farru,3994189,2013-03,8,2
syedfarhanali77,https://github.com/syedfarhanali77,3755953,2013-03,2,3
imran-alam,https://github.com/imran-alam,3991786,2013-03,0,0
burhu,https://github.com/burhu,3917984,2013-03,4,30
benztechsolutions,https://github.com/benztechsolutions,3816594,2013-03,0,0
Muhammad46,https://github.com/Muhammad46,3754070,2013-03,1,1
ahsanSDq,https://github.com/ahsanSDq,3758282,2013-03,1,3
agahii,https://github.com/agahii,3959154,2013-03,11,366
atifuzzaman,https://github.com/atifuzzaman,3964342,2013-03,2,5
anisrehan,https://github.com/anisrehan,3822138,2013-03,0,0
rpvgblol,https://github.com/rpvgblol,4013044,2013-03,1,0
inampaki,https://github.com/inampaki,4215868,2013-04,15,92
Wajiha-Kanwal,https://github.com/Wajiha-Kanwal,4168644,2013-04,14,54
Tauqeer1,https://github.com/Tauqeer1,4275703,2013-04,156,N/A
aliakhtar49,https://github.com/aliakhtar49,4235810,2013-04,33,219
mrabro,https://github.com/mrabro,4149030,2013-04,50,173
a-to-z,https://github.com/a-to-z,4037391,2013-04,11,1533
owaisafaq,https://github.com/owaisafaq,4259627,2013-04,6,1310
muhammadshakeel,https://github.com/muhammadshakeel,4094268,2013-04,20,41
tabain,https://github.com/tabain,4069365,2013-04,14,160
AliAdil,https://github.com/AliAdil,4159006,2013-04,52,683
smuaq,https://github.com/smuaq,4241552,2013-04,14,52
sohaibnasir,https://github.com/sohaibnasir,4243823,2013-04,3,5
atherkamal,https://github.com/atherkamal,4220845,2013-04,0,0
sannan1993,https://github.com/sannan1993,4242670,2013-04,21,75
akbarattari,https://github.com/akbarattari,4111505,2013-04,31,274
junaidali14,https://github.com/junaidali14,4028010,2013-04,4,4
kamrankami55,https://github.com/kamrankami55,4226331,2013-04,10,30
azfarshah,https://github.com/azfarshah,4232195,2013-04,7,9
hatimdisawala,https://github.com/hatimdisawala,4221100,2013-04,8,26
syedadeelalirizvi,https://github.com/syedadeelalirizvi,4045590,2013-04,1,70
MuhammadHaroon,https://github.com/MuhammadHaroon,4133276,2013-04,1,5
iqbalmalik89,https://github.com/iqbalmalik89,4177656,2013-04,39,701
shoaibmak,https://github.com/shoaibmak,4058253,2013-04,0,0
zianomi,https://github.com/zianomi,4126737,2013-04,5,31
omarahmed,https://github.com/omarahmed,4084050,2013-04,1,0
ahmkhan,https://github.com/ahmkhan,4222645,2013-04,9,80
kamran-nishat,https://github.com/kamran-nishat,4282989,2013-04,3,2
Nooruddintunio,https://github.com/Nooruddintunio,4193769,2013-04,5,1
Muzammil1,https://github.com/Muzammil1,4244777,2013-04,0,0
AhmerJamilKhan,https://github.com/AhmerJamilKhan,4150075,2013-04,3,285
HiraHaider,https://github.com/HiraHaider,4083414,2013-04,0,0
ijunoon,https://github.com/ijunoon,4147834,2013-04,0,0
samranahmed,https://github.com/samranahmed,4216632,2013-04,1,0
rashidrupani,https://github.com/rashidrupani,4240217,2013-04,2,15
baberkhan,https://github.com/baberkhan,4225937,2013-04,6,27
nasir81,https://github.com/nasir81,4160389,2013-04,0,0
sheikhwaqas,https://github.com/sheikhwaqas,4426908,2013-05,6,16
DaniyalRaza,https://github.com/DaniyalRaza,4473022,2013-05,9,57
afrozhussain,https://github.com/afrozhussain,4417668,2013-05,49,85
kamalpanhwar,https://github.com/kamalpanhwar,4409408,2013-05,41,183
Moiz-kz-Rajput,https://github.com/Moiz-kz-Rajput,4410303,2013-05,23,50
